HumanMessage1,AIMessage,FunctionMessage,model_name,temperature,max_tokens,langchain_version,library,library_version,platform,py_implementation,runtime,runtime_version,sdk_version,thread_count,parent_id,child_id,cpu_time_user,cpu_time_system,correctness_langsmith,llm_output
Can you help me design a brochure for 111 Pine Place?,"{'function_call': {'arguments': {'medium': 'brochure', 'query': '111 Pine Place'}, 'name': 'listing-marketing'}}","[{'id': 'bf6daa75-d071-44', 'type': 'brochure_design'}]",gpt3.5-turbo-instruct,0.23,1270,0.0.301,langchain,0.0.301,Linux-5.15.120+-x86_64-with-glibc2.35,CPython,python,3.10.12,0.0.40,19,396ea88b-6f26-4419-9ac4-cd72d2121a3e/r/dabeef8d-ffb7-41ba-b75d-8edcc41f4a3c,b0ceefd4-94bc-4c0e-a9b0-54ca7d35a4a1/r/0e73b4c6-bd29-431c-a41f-c7ffe941c4b3,4.49,4.7,unknown,"[{'id': 'cd53c09c-dc42-4d', 'type': 'brochure_design'}]"
I need a poster for 90 Oak Drive,"{'function_call': {'arguments': {'medium': 'brochure', 'query': '90 Oak Drive'}, 'name': 'listing-marketing'}}","[{'id': '91a928bb-9911-4f', 'type': 'brochure_design'}]",bard,0.18,1151,0.0.301,langchain,0.0.301,Linux-5.15.120+-x86_64-with-glibc2.35,CPython,python,3.10.12,0.0.40,19,e1300ffe-d147-4ccf-bcd2-5341f4668955/r/7699a7c3-fc47-48e6-942a-7ae75f7c0ae6,af25ce08-ca08-4c29-b4c9-af961047ab37/r/d02eeae6-1598-4443-b530-ad9f10789cca,3.28,4.45,incorrect,"[{'id': '064cb19f-3488-43', 'type': 'brochure_design'}]"
Create a flyer for 4240 Prescott Avenue Unit 7E,"{'function_call': {'arguments': {'medium': 'flyer', 'query': '4240 Prescott Avenue Unit 7E'}, 'name': 'listing-marketing'}}","[{'id': '846b6974-0d47-4a', 'type': 'flyer_design'}]",gpt3.5-turbo,0.08,1176,0.0.301,langchain,0.0.301,Linux-5.15.120+-x86_64-with-glibc2.35,CPython,python,3.10.12,0.0.40,19,75bbc37e-1498-47a7-b3c2-3069d381809a/r/1508ce6c-2878-4818-bc28-aa0a9dd55196,50a6a20f-a821-4bd0-9273-a6f5a1848973/r/c4786ae9-85d5-4f5d-ac47-b885620a4438,9.01,2.66,unknown,"[{'id': '0d4e2b4b-c645-44', 'type': 'flyer_design'}]"
Can you help me design a brochure for 789 Birch Boulevard Apt 12C?,"{'function_call': {'arguments': {'medium': 'flyer', 'query': '789 Birch Boulevard Apt 12C'}, 'name': 'listing-marketing'}}","[{'id': 'd71dd639-d654-4c', 'type': 'flyer_design'}]",bard,0.03,1595,0.0.301,langchain,0.0.301,Linux-5.15.120+-x86_64-with-glibc2.35,CPython,python,3.10.12,0.0.40,19,a089c0f8-989e-47c9-920f-3420569de8ac/r/6f359c7c-c8f0-4ba1-9cfe-0a64d0229b91,07a5f064-a4dd-4595-9d38-759603ac620e/r/1d4867f7-410b-441e-8f95-5f34c3b0ec40,4.81,4.06,unknown,"[{'id': 'ed56b24b-1dbf-4f', 'type': 'flyer_design'}]"
Can you help me design a brochure for 222 Cedar Court Unit 4D?,"{'function_call': {'arguments': {'medium': 'flyer', 'query': '222 Cedar Court Unit 4D'}, 'name': 'listing-marketing'}}","[{'id': '845d484d-420e-47', 'type': 'flyer_design'}]",gpt4,0.39,1249,0.0.301,langchain,0.0.301,Linux-5.15.120+-x86_64-with-glibc2.35,CPython,python,3.10.12,0.0.40,19,598d7e1a-70d5-42f3-8808-e1304fcc176c/r/3e248cf5-065d-4cb3-8d60-7793fcddcb4f,de166fd1-8e9d-41a9-b036-eb678f88d3e6/r/4c658065-6afb-4a43-854d-fa2e3db4aa37,5.13,2.67,unknown,"[{'id': '1eef57f6-2fa6-47', 'type': 'flyer_design'}]"
Can you help me design a brochure for 444 Redwood Road?,"{'function_call': {'arguments': {'medium': 'poster', 'query': '444 Redwood Road'}, 'name': 'listing-marketing'}}","[{'id': '363579c2-5c24-4d', 'type': 'poster_design'}]",claude,0.55,993,0.0.301,langchain,0.0.301,Linux-5.15.120+-x86_64-with-glibc2.35,CPython,python,3.10.12,0.0.40,19,621ffeda-7c75-43fc-98fd-9d9250376d96/r/517d240a-5002-4d0b-83f5-a366f1e69fa0,ec0cae68-4fbd-4059-9e34-13335b81cea9/r/a1d31c8c-50b0-4d4e-a018-5e0953c1965e,4.11,1.5,incorrect,"[{'id': 'da80028e-8a35-41', 'type': 'poster_design'}]"
Can you help me design a brochure for 56 Maple Lane Unit 2B?,"{'function_call': {'arguments': {'medium': 'poster', 'query': '56 Maple Lane Unit 2B'}, 'name': 'listing-marketing'}}","[{'id': 'd53e762e-35f5-41', 'type': 'poster_design'}]",gpt3.5-turbo-instruct,0.89,1604,0.0.301,langchain,0.0.301,Linux-5.15.120+-x86_64-with-glibc2.35,CPython,python,3.10.12,0.0.40,19,06397dea-78e3-447a-bd5f-5b4a171fca8e/r/a7af2f74-783d-4b5f-8fc5-ca3ebaccf801,b80a35bc-9632-42fe-8c37-f7723bbc2387/r/47c9e814-d4be-41f4-8ae7-0d8f8173b543,9.62,4.78,unknown,"[{'id': '28f77a11-5c58-45', 'type': 'poster_design'}]"
Design a banner for 222 Cedar Court Unit 4D,"{'function_call': {'arguments': {'medium': 'banner', 'query': '222 Cedar Court Unit 4D'}, 'name': 'listing-marketing'}}","[{'id': '7183642e-b452-48', 'type': 'banner_ad'}]",claude,0.02,1205,0.0.301,langchain,0.0.301,Linux-5.15.120+-x86_64-with-glibc2.35,CPython,python,3.10.12,0.0.40,19,1b9b6324-725f-44b3-b5c9-629c38ec93d9/r/b1bc0dca-b1b3-42c3-a353-13cc79a3fc81,295b7e17-6474-44d4-b2fd-0642aa4faf3a/r/c99a3f46-efb9-493f-a776-21b6049ee41d,7.7,3.62,incorrect,"[{'id': '336bf3db-4f4f-41', 'type': 'banner_ad'}]"
Generate Email marketing material for 123 Elm Street Apt 5A,"{'function_call': {'arguments': {'medium': 'flyer', 'query': '123 Elm Street Apt 5A'}, 'name': 'listing-marketing'}}","[{'id': '427f2388-b0c9-41', 'type': 'flyer_design'}]",claude,0.55,118,0.0.301,langchain,0.0.301,Linux-5.15.120+-x86_64-with-glibc2.35,CPython,python,3.10.12,0.0.40,19,d991bd8b-d597-45b6-b881-50ea1d78e963/r/87ca8b61-df05-49b8-a847-148f5a3a9156,45596eb1-929c-4509-94db-fd8392dfebfa/r/d49a8d72-ed75-4607-8477-515dc3b62280,5.4,3.86,correct,"[{'id': '1fd718cd-ddc0-47', 'type': 'flyer_design'}]"
Design a banner for 222 Cedar Court Unit 4D,"{'function_call': {'arguments': {'medium': 'poster', 'query': '222 Cedar Court Unit 4D'}, 'name': 'listing-marketing'}}","[{'id': '4120a239-3f8c-40', 'type': 'poster_design'}]",llama2-7B,0.74,667,0.0.301,langchain,0.0.301,Linux-5.15.120+-x86_64-with-glibc2.35,CPython,python,3.10.12,0.0.40,19,23c9c578-dd56-43b2-9808-f1e7d5cfd71f/r/f318ca60-d2cd-4493-b1bf-2b9abacd3bc0,f9653d84-1948-4cbf-aea3-386163ae7d96/r/e0b1c3aa-b37c-4098-8795-5df1071f5da8,6.74,1.57,correct,"[{'id': '2274bb10-22c6-4f', 'type': 'poster_design'}]"
Create a flyer for 123 Elm Street Apt 5A,"{'function_call': {'arguments': {'medium': 'brochure', 'query': '123 Elm Street Apt 5A'}, 'name': 'listing-marketing'}}","[{'id': 'd40b73c2-e4e5-46', 'type': 'brochure_design'}]",gpt3.5-turbo,0.07,1211,0.0.301,langchain,0.0.301,Linux-5.15.120+-x86_64-with-glibc2.35,CPython,python,3.10.12,0.0.40,19,b3132866-1421-4a8c-b436-aa8111f66311/r/6334758e-7164-45ad-8e1b-b9077e6c804a,f72d9b42-e4b4-4c04-a1da-04a3f118d798/r/5769bc9e-8c5b-4f31-82fa-88f160be1358,5.88,1.91,unknown,"[{'id': '32de8f26-bf5c-48', 'type': 'brochure_design'}]"
I need a poster for 111 Pine Place,"{'function_call': {'arguments': {'medium': 'brochure', 'query': '111 Pine Place'}, 'name': 'listing-marketing'}}","[{'id': 'ac2d846d-4b1d-48', 'type': 'brochure_design'}]",llama2-7B,0.74,359,0.0.301,langchain,0.0.301,Linux-5.15.120+-x86_64-with-glibc2.35,CPython,python,3.10.12,0.0.40,19,e0514be1-814e-482a-a9b3-dd234b97ec19/r/12280d51-d083-4748-a420-0f650892fb8c,2adae3f1-b96a-44b9-9a49-2b2cc7285fc5/r/841f3573-7633-43ad-bb80-d65e07f57757,8.28,2.29,incorrect,"[{'id': '8a9fbcad-3786-4a', 'type': 'brochure_design'}]"
Design a banner for 123 Elm Street Apt 5A,"{'function_call': {'arguments': {'medium': 'flyer', 'query': '123 Elm Street Apt 5A'}, 'name': 'listing-marketing'}}","[{'id': 'ad78ad80-587b-45', 'type': 'flyer_design'}]",llama2-7B,0.5,1147,0.0.301,langchain,0.0.301,Linux-5.15.120+-x86_64-with-glibc2.35,CPython,python,3.10.12,0.0.40,19,528cdd39-2bf8-40ab-8836-784e9bf3f01b/r/a9c89c65-5bc5-45c3-991e-8be59a5b9ad5,cc3c0c73-4eef-4832-8c13-dc2b10a5a8e3/r/79745d3a-85f8-48fc-824b-8cda48fce050,2.94,3.25,correct,"[{'id': '0500d00d-3b41-4f', 'type': 'flyer_design'}]"
Can you help me design a brochure for 222 Cedar Court Unit 4D?,"{'function_call': {'arguments': {'medium': 'poster', 'query': '222 Cedar Court Unit 4D'}, 'name': 'listing-marketing'}}","[{'id': '6a9a61e4-9571-42', 'type': 'poster_design'}]",bard,0.91,320,0.0.301,langchain,0.0.301,Linux-5.15.120+-x86_64-with-glibc2.35,CPython,python,3.10.12,0.0.40,19,45044cb0-bd7c-4200-a405-a666f23cf463/r/1785d69d-bef2-431c-bc48-f6cae4767f17,75ecf1fd-c84f-423d-a651-40b66d936e1c/r/8c74b30c-1053-462c-a0fc-f3d9a496b2d2,5.1,4.24,incorrect,"[{'id': 'ff3e1f31-a69c-45', 'type': 'poster_design'}]"
Can you help me design a brochure for 123 Elm Street Apt 5A?,"{'function_call': {'arguments': {'medium': 'brochure', 'query': '123 Elm Street Apt 5A'}, 'name': 'listing-marketing'}}","[{'id': '91e6cf4a-9f30-49', 'type': 'brochure_design'}]",gpt3.5-turbo,0.33,1890,0.0.301,langchain,0.0.301,Linux-5.15.120+-x86_64-with-glibc2.35,CPython,python,3.10.12,0.0.40,19,f803a59d-e316-48a9-af29-f663c9c05d5e/r/276f5717-c80d-4c6f-a528-d1ea695c43aa,09c7c669-6ea6-4399-bca2-053722783aa5/r/4ce35a1a-8824-4236-a039-b1b4653d02cd,3.96,3.41,unknown,"[{'id': '2412d8a1-c9c8-4c', 'type': 'brochure_design'}]"
Can you help me design a brochure for 444 Redwood Road?,"{'function_call': {'arguments': {'medium': 'banner', 'query': '444 Redwood Road'}, 'name': 'listing-marketing'}}","[{'id': 'c96e244d-825d-4a', 'type': 'banner_ad'}]",claude,0.62,1639,0.0.301,langchain,0.0.301,Linux-5.15.120+-x86_64-with-glibc2.35,CPython,python,3.10.12,0.0.40,19,28a17f0d-6bd2-44e0-a6e0-54ef2d4f8222/r/5c819115-0920-49c4-97f8-d4f42028c965,47b943e4-423e-4160-aa6a-95896f6d21bf/r/d6b51ba2-98c9-49ce-8a6c-5ca1f544a69c,2.21,3.56,incorrect,"[{'id': 'b0a16001-8cb9-4f', 'type': 'banner_ad'}]"
Create a flyer for 56 Maple Lane Unit 2B,"{'function_call': {'arguments': {'medium': 'banner', 'query': '56 Maple Lane Unit 2B'}, 'name': 'listing-marketing'}}","[{'id': 'efea9192-4531-47', 'type': 'banner_ad'}]",gpt3.5-turbo-instruct,0.2,219,0.0.301,langchain,0.0.301,Linux-5.15.120+-x86_64-with-glibc2.35,CPython,python,3.10.12,0.0.40,19,73548031-4c88-4956-9258-495f5744660d/r/16edac99-9f37-44cb-a28d-4c8fea99fa82,673874fa-2a2f-410e-acba-e58ee2993fc8/r/32cbc552-041a-491f-9e29-ef19d380812b,6.29,2.18,unknown,"[{'id': 'd0d3e155-17b1-47', 'type': 'banner_ad'}]"
I need a poster for 4240 Prescott Avenue Unit 7E,"{'function_call': {'arguments': {'medium': 'banner', 'query': '4240 Prescott Avenue Unit 7E'}, 'name': 'listing-marketing'}}","[{'id': '15eef5bb-6451-40', 'type': 'banner_ad'}]",gpt4,0.84,1094,0.0.301,langchain,0.0.301,Linux-5.15.120+-x86_64-with-glibc2.35,CPython,python,3.10.12,0.0.40,19,69fba264-8ea1-4a1c-abe2-5ce431d21a65/r/312c6f64-e6fe-46a2-9b94-3201a628e3c8,94c4644c-6c47-4651-a32d-239aff0f8ee4/r/822be61b-0138-4ba6-95b9-43e360242396,4.14,0.97,correct,"[{'id': 'c5b0288b-de8c-40', 'type': 'banner_ad'}]"
I need a poster for 444 Redwood Road,"{'function_call': {'arguments': {'medium': 'poster', 'query': '444 Redwood Road'}, 'name': 'listing-marketing'}}","[{'id': '25251d7a-94dc-40', 'type': 'poster_design'}]",gpt3.5-turbo-instruct,0.51,1427,0.0.301,langchain,0.0.301,Linux-5.15.120+-x86_64-with-glibc2.35,CPython,python,3.10.12,0.0.40,19,76891524-6bde-4e7e-b969-e4dab3923a33/r/65f6729c-00f8-486f-94db-6484bc6119a6,a0898b2b-a0ed-48a2-9b7b-0985d4be576c/r/050c8280-b02a-4e35-b705-70eda1e7829e,3.49,3.47,unknown,"[{'id': '0b8d62c6-f34a-4a', 'type': 'poster_design'}]"
I need a poster for 56 Maple Lane Unit 2B,"{'function_call': {'arguments': {'medium': 'banner', 'query': '56 Maple Lane Unit 2B'}, 'name': 'listing-marketing'}}","[{'id': 'afb81b08-1de5-4e', 'type': 'banner_ad'}]",gpt3.5-turbo,0.26,904,0.0.301,langchain,0.0.301,Linux-5.15.120+-x86_64-with-glibc2.35,CPython,python,3.10.12,0.0.40,19,b5ca31a4-1f26-4894-9cef-51e9b8599bfc/r/1b818153-de4c-4528-9905-8ad2cf03f54e,36c2edf2-1216-4f62-bba9-4b158a1af4e6/r/711c3dbc-dd3b-4eb9-8b2d-cdf368cddaf0,1.47,4.22,correct,"[{'id': '42c50b4f-ba80-4c', 'type': 'banner_ad'}]"
Generate Email marketing material for 123 Elm Street Apt 5A,"{'function_call': {'arguments': {'medium': 'brochure', 'query': '123 Elm Street Apt 5A'}, 'name': 'listing-marketing'}}","[{'id': '55119313-7efb-4e', 'type': 'brochure_design'}]",bard,0.47,1250,0.0.301,langchain,0.0.301,Linux-5.15.120+-x86_64-with-glibc2.35,CPython,python,3.10.12,0.0.40,19,3690bd2a-fe1d-4dee-b321-0888264dfbba/r/e9c542b2-1359-4277-b85e-16fd19282f44,623d3b6d-2cf9-40a8-b384-614ebfe18798/r/9b36ff49-ca92-4b15-8b00-a54a49de4f94,4.25,1.69,correct,"[{'id': 'b77f56ef-c285-4c', 'type': 'brochure_design'}]"
I need a poster for 333 Spruce Street Apt 9F,"{'function_call': {'arguments': {'medium': 'poster', 'query': '333 Spruce Street Apt 9F'}, 'name': 'listing-marketing'}}","[{'id': '8e725592-b431-41', 'type': 'poster_design'}]",claude,0.77,2046,0.0.301,langchain,0.0.301,Linux-5.15.120+-x86_64-with-glibc2.35,CPython,python,3.10.12,0.0.40,19,f87d44b2-1719-4bac-8e7a-be3e346dc93a/r/93999c4e-7703-4d09-852c-adb5593b1b62,25c088e1-80ff-401d-b2ed-cd1b9736fe83/r/78a64947-2d44-4841-892e-bf65fa48ae0a,7.17,2.86,unknown,"[{'id': '888f317f-360d-4d', 'type': 'poster_design'}]"
Design a banner for 56 Maple Lane Unit 2B,"{'function_call': {'arguments': {'medium': 'flyer', 'query': '56 Maple Lane Unit 2B'}, 'name': 'listing-marketing'}}","[{'id': '41ea254b-56db-4e', 'type': 'flyer_design'}]",gpt3.5-turbo,0.6,944,0.0.301,langchain,0.0.301,Linux-5.15.120+-x86_64-with-glibc2.35,CPython,python,3.10.12,0.0.40,19,ab8258b5-0515-4fc4-b328-62feac0b41cc/r/2b87cb20-878e-4749-976a-ffa97a2def9e,253a8fe0-69ff-4d35-b0af-b6bc96427503/r/9ff97c74-1db2-4321-b3a8-2e479b76270e,7.3,1.07,incorrect,"[{'id': '1d459184-647c-48', 'type': 'flyer_design'}]"
Design a banner for 333 Spruce Street Apt 9F,"{'function_call': {'arguments': {'medium': 'brochure', 'query': '333 Spruce Street Apt 9F'}, 'name': 'listing-marketing'}}","[{'id': '37d905bb-e5e9-46', 'type': 'brochure_design'}]",gpt4,0.31,626,0.0.301,langchain,0.0.301,Linux-5.15.120+-x86_64-with-glibc2.35,CPython,python,3.10.12,0.0.40,19,90ebcc9e-b3d1-4038-a961-c603ee7ce542/r/4dd1231f-ea9e-43d7-9f21-7e759f90767c,6bcc6af0-101d-4672-8de9-3b1bfb888160/r/74f03620-546a-4efa-b748-876d81a5b54c,9.56,0.7,unknown,"[{'id': 'da968e97-3520-47', 'type': 'brochure_design'}]"
I need a poster for 4240 Prescott Avenue Unit 7E,"{'function_call': {'arguments': {'medium': 'poster', 'query': '4240 Prescott Avenue Unit 7E'}, 'name': 'listing-marketing'}}","[{'id': '3a362085-6694-4b', 'type': 'poster_design'}]",llama2-7B,0.32,580,0.0.301,langchain,0.0.301,Linux-5.15.120+-x86_64-with-glibc2.35,CPython,python,3.10.12,0.0.40,19,505bdaab-4cb6-4b75-969b-fc8ca63e9499/r/a8f77db1-88fe-46a2-8ae9-5ee63220ca88,7664530d-eb3f-4293-88fd-366c766e763d/r/5e936747-445e-45c5-b55f-895113ed0141,5.0,1.17,unknown,"[{'id': '150beee9-dc05-4b', 'type': 'poster_design'}]"
Create a flyer for 90 Oak Drive,"{'function_call': {'arguments': {'medium': 'flyer', 'query': '90 Oak Drive'}, 'name': 'listing-marketing'}}","[{'id': 'f321a297-d16c-46', 'type': 'flyer_design'}]",claude,0.11,1440,0.0.301,langchain,0.0.301,Linux-5.15.120+-x86_64-with-glibc2.35,CPython,python,3.10.12,0.0.40,19,aa24fe8d-b014-4790-9594-6584b2d57627/r/4a84e213-ce41-4e94-9975-b97182fd25da,6566d71a-b104-4737-af02-7018bb4d29ef/r/4b4a06c6-8485-4784-89a5-a963e22be085,2.83,2.17,correct,"[{'id': '0a4b5e09-dad7-47', 'type': 'flyer_design'}]"
Design a banner for 111 Pine Place,"{'function_call': {'arguments': {'medium': 'poster', 'query': '111 Pine Place'}, 'name': 'listing-marketing'}}","[{'id': 'c1afa2a1-9a59-46', 'type': 'poster_design'}]",bard,0.63,1009,0.0.301,langchain,0.0.301,Linux-5.15.120+-x86_64-with-glibc2.35,CPython,python,3.10.12,0.0.40,19,dbf12f24-ad4f-487a-82db-cac8b48f253e/r/3e9d659b-973d-4d1a-b8c5-79d8ac7f7a98,010b6954-9b3f-4135-92c1-7252f10c0e02/r/42b245cd-f9f9-4c2c-8f7a-eef8dbbd17e4,3.54,3.15,unknown,"[{'id': 'a63e0759-acfa-46', 'type': 'poster_design'}]"
I need a poster for 222 Cedar Court Unit 4D,"{'function_call': {'arguments': {'medium': 'brochure', 'query': '222 Cedar Court Unit 4D'}, 'name': 'listing-marketing'}}","[{'id': 'ef58fef0-cbc9-48', 'type': 'brochure_design'}]",llama2-7B,0.16,923,0.0.301,langchain,0.0.301,Linux-5.15.120+-x86_64-with-glibc2.35,CPython,python,3.10.12,0.0.40,19,dff68457-4fff-4201-8ec1-3b6a8fa093b0/r/c567c8c2-caa1-4573-b891-d15cba2e6798,4446aff5-d416-479f-ba4e-9fef1adee2e2/r/3740446f-5daa-4b96-80d7-bea0bcdcdff2,3.2,0.72,unknown,"[{'id': '0aea1b30-b4c3-45', 'type': 'brochure_design'}]"
Can you help me design a brochure for 333 Spruce Street Apt 9F?,"{'function_call': {'arguments': {'medium': 'flyer', 'query': '333 Spruce Street Apt 9F'}, 'name': 'listing-marketing'}}","[{'id': 'e6765e98-b1b5-47', 'type': 'flyer_design'}]",claude,0.9,199,0.0.301,langchain,0.0.301,Linux-5.15.120+-x86_64-with-glibc2.35,CPython,python,3.10.12,0.0.40,19,96cf0381-4105-4978-adfc-4b668b49766c/r/f20995ff-1598-4e39-bd76-9c5a59d08121,e2044907-7640-41f4-8d47-104ffc8bba34/r/a8ad380f-a4e8-4659-9456-8ca15a1c8199,3.05,1.68,unknown,"[{'id': '4dfea2dd-3c8b-4e', 'type': 'flyer_design'}]"
